packet_id,timestep,routing_mode,src,dst,path,hop_count,end_to_end_latency_ms,base_latency_ms,queuing_delay_ms,path_loss_prob,delivered,demand_gbps,size_bytes,bottleneck_avail_bw_gbps,max_congestion
0,1,rl_agent,11,9,"[11, 12, 7, 8, 9]",4,16.843976230957914,14.4,2.4439762309579134,0.0,True,0.05,1500,3.3154495204292536,0.6684550479570747
1,1,rl_agent,1,7,"[1, 7]",1,15.369225385877666,15.0,0.36922538587766596,0.0,True,0.05,1500,5.752248014422003,0.4247751985577997
2,1,rl_agent,5,0,"[5, 2, 0]",2,20.69643134225529,20.0,0.6964313422552912,0.0,True,0.05,1500,5.866020926119254,0.4133979073880746
3,1,rl_agent,12,13,"[12, 11, 12]",2,4.580684215624308,3.5,1.0806842156243084,0.0,False,0.05,1500,4.80611133823568,0.519388866176432
4,1,rl_agent,5,11,"[5, 10, 11]",2,10.22026528494031,9.5,0.7202652849403108,0.0,True,0.05,1500,5.468663181886129,0.45313368181138713
5,1,rl_agent,11,0,"[11, 6, 5, 2, 0]",4,39.38713725251103,37.5,1.8871372525110317,0.0,True,0.05,1500,4.546740864578722,0.5453259135421278
6,1,rl_agent,9,2,"[9, 4, 5, 2]",3,26.550201719152625,25.25,1.300201719152625,0.0,True,0.05,1500,4.7154424129220045,0.5284557587077996
7,1,rl_agent,9,12,"[9, 13, 10, 11, 12]",4,13.265297752010197,10.0,3.2652977520101967,0.02542220688598451,True,0.05,1500,1.9304209660481835,0.8069579033951817
8,1,rl_agent,8,4,"[8, 7, 1, 2, 5, 4]",5,37.464933246108274,34.9,2.564933246108275,0.0,True,0.05,1500,3.2654495204292537,0.6734550479570747
9,1,rl_agent,7,8,"[7, 8]",1,2.95499253470865,1.9,1.0549925347086502,0.0,True,0.05,1500,3.215449520429254,0.6784550479570746
10,1,rl_agent,10,7,"[10, 11, 10]",2,4.651870611393138,4.0,0.6518706113931376,0.0,False,0.05,1500,6.053742908814328,0.3946257091185671
11,1,rl_agent,12,1,"[12, 7, 1]",2,21.761086079583173,20.75,1.0110860795831726,0.0,True,0.05,1500,4.43859618034235,0.556140381965765
12,1,rl_agent,10,1,"[10, 5, 2, 0, 1]",4,35.379565393888235,34.0,1.3795653938882353,0.0,True,0.05,1500,5.418663181886129,0.45813368181138714
13,1,rl_agent,6,3,"[6, 5, 2, 0, 3]",4,33.23494871967198,31.5,1.7349487196719835,0.0,True,0.05,1500,4.594663441159511,0.5405336558840489
14,1,rl_agent,5,13,"[5, 6, 5]",2,13.224860688884027,12.0,1.2248606888840268,0.0,False,0.05,1500,4.494663441159512,0.5505336558840488
15,1,rl_agent,6,5,"[6, 5]",1,6.624944569187811,6.0,0.6249445691878108,0.0,True,0.05,1500,4.444663441159512,0.5555336558840488
