seed,seed_type,50k_delivered,200k_delivered,delivered_diff,50k_loss_rate_pct,200k_loss_rate_pct,50k_mean_latency_ms,200k_mean_latency_ms,50k_mean_hops,200k_mean_hops,50k_mean_queuing_ms,200k_mean_queuing_ms
42,in_distribution,1829,1842,13,8.55,7.9,19.1969015732837,18.89470990802326,2.5248769819573536,2.441910966340934,2.796983585312133,2.7925926441796114
100,held_out,1850,1836,-14,7.5,8.200000000000001,19.20556300434716,18.607238059079567,2.514054054054054,2.405773420479303,2.6559143556985068,2.6808219370752107
200,held_out,1826,1848,22,8.7,7.6,20.640020582517696,20.29554087302818,2.5076670317634173,2.4220779220779223,4.370332740239492,4.430876370863678
300,held_out,1804,1838,34,9.8,8.1,20.866807423713293,20.289811045064436,2.4523281596452327,2.3868335146898803,4.8800003283696105,4.6406271495258125
400,held_out,1815,1850,35,9.25,7.5,19.88281310522676,19.33744610287139,2.546005509641873,2.472972972972973,3.10509960660417,2.9526893461146364
