step,episode,current_rate,drop_pct,peak_rate,incident_id
16110,6774,0.28,30.0,0.58,3
16111,6775,0.28,30.0,0.58,3
16113,6776,0.27,31.0,0.58,3
16114,6777,0.28,30.0,0.58,3
16116,6778,0.28,30.0,0.58,3
16117,6779,0.29,29.0,0.58,3
16119,6780,0.29,29.0,0.58,3
16120,6781,0.29,29.0,0.58,3
16122,6782,0.29,29.0,0.58,3
16123,6783,0.29,29.0,0.58,3
16125,6784,0.28,30.0,0.58,3
16128,6785,0.29,29.0,0.58,3
16129,6786,0.29,29.0,0.58,3
16133,6787,0.29,29.0,0.58,3
16136,6788,0.29,29.0,0.58,3
16138,6789,0.28,30.0,0.58,3
16140,6790,0.29,29.0,0.58,3
16143,6791,0.28,30.0,0.58,3
16145,6792,0.28,30.0,0.58,3
16146,6793,0.29,29.0,0.58,3
16148,6794,0.3,28.0,0.58,3
16149,6795,0.3,28.0,0.58,3
16150,6796,0.3,28.0,0.58,3
16154,6797,0.3,28.0,0.58,3
16156,6798,0.3,28.0,0.58,3
16158,6799,0.3,28.0,0.58,3
16160,6800,0.31,27.0,0.58,3
16162,6801,0.3,28.0,0.58,3
16165,6802,0.3,28.0,0.58,3
16167,6803,0.29,29.0,0.58,3
16168,6804,0.28,30.0,0.58,3
16170,6805,0.28,30.0,0.58,3
16174,6806,0.27,31.0,0.58,3
16176,6807,0.27,31.0,0.58,3
16179,6808,0.27,31.0,0.58,3
16182,6809,0.26,32.0,0.58,3
16184,6810,0.26,32.0,0.58,3
16186,6811,0.26,32.0,0.58,3
16188,6812,0.26,32.0,0.58,3
16189,6813,0.27,31.0,0.58,3
16190,6814,0.26,32.0,0.58,3
16193,6815,0.25,33.0,0.58,3
16195,6816,0.25,33.0,0.58,3
16197,6817,0.24,34.0,0.58,3
16199,6818,0.24,34.0,0.58,3
16200,6819,0.25,33.0,0.58,3
16201,6820,0.25,33.0,0.58,3
16202,6821,0.25,33.0,0.58,3
16203,6822,0.25,33.0,0.58,3
16205,6823,0.26,32.0,0.58,3
16208,6824,0.26,32.0,0.58,3
16210,6825,0.26,32.0,0.58,3
16213,6826,0.25,33.0,0.58,3
16215,6827,0.25,33.0,0.58,3
16217,6828,0.25,33.0,0.58,3
16219,6829,0.25,33.0,0.58,3
16221,6830,0.24,34.0,0.58,3
16222,6831,0.23,35.0,0.58,3
16225,6832,0.23,35.0,0.58,3
16226,6833,0.23,35.0,0.58,3
16228,6834,0.23,35.0,0.58,3
16229,6835,0.22,36.0,0.58,3
16230,6836,0.23,35.0,0.58,3
16232,6837,0.23,35.0,0.58,3
16234,6838,0.24,34.0,0.58,3
16237,6839,0.25,33.0,0.58,3
16240,6840,0.25,33.0,0.58,3
16242,6841,0.25,33.0,0.58,3
16244,6842,0.26,32.0,0.58,3
16245,6843,0.27,31.0,0.58,3
16249,6844,0.26,32.0,0.58,3
16251,6845,0.25,33.0,0.58,3
16254,6846,0.26,32.0,0.58,3
16257,6847,0.25,33.0,0.58,3
16259,6848,0.24,34.0,0.58,3
16261,6849,0.24,34.0,0.58,3
16263,6850,0.24,34.0,0.58,3
16265,6851,0.24,34.0,0.58,3
16266,6852,0.24,34.0,0.58,3
16268,6853,0.25,33.0,0.58,3
16269,6854,0.25,33.0,0.58,3
16271,6855,0.25,33.0,0.58,3
16273,6856,0.25,33.0,0.58,3
16275,6857,0.25,33.0,0.58,3
16277,6858,0.25,33.0,0.58,3
16280,6859,0.26,32.0,0.58,3
16282,6860,0.26,32.0,0.58,3
16284,6861,0.26,32.0,0.58,3
16286,6862,0.27,31.0,0.58,3
16288,6863,0.27,31.0,0.58,3
16292,6864,0.27,31.0,0.58,3
16293,6865,0.27,31.0,0.58,3
16294,6866,0.27,31.0,0.58,3
16295,6867,0.27,31.0,0.58,3
16296,6868,0.26,32.0,0.58,3
16300,6869,0.25,33.0,0.58,3
16303,6870,0.26,32.0,0.58,3
16304,6871,0.26,32.0,0.58,3
16305,6872,0.27,31.0,0.58,3
16308,6873,0.28,30.0,0.58,3
16309,6874,0.28,30.0,0.58,3
16310,6875,0.29,29.0,0.58,3
16314,6876,0.29,29.0,0.58,3
16316,6877,0.29,29.0,0.58,3
16318,6878,0.3,28.0,0.58,3
16319,6879,0.3,28.0,0.58,3
16320,6880,0.3,28.0,0.58,3
16321,6881,0.3,28.0,0.58,3
16322,6882,0.3,28.0,0.58,3
16323,6883,0.3,28.0,0.58,3
16325,6884,0.31,27.0,0.58,3
16327,6885,0.31,27.0,0.58,3
16328,6886,0.31,27.0,0.58,3
16331,6887,0.31,27.0,0.58,3
16333,6888,0.32,26.0,0.58,3
16338,6889,0.32,26.0,0.58,3
16341,6890,0.32,26.0,0.58,3
16343,6891,0.33,25.0,0.58,3
16344,6892,0.33,25.0,0.58,3
16346,6893,0.33,25.0,0.58,3
16348,6894,0.32,26.0,0.58,3
16351,6895,0.32,26.0,0.58,3
16353,6896,0.32,26.0,0.58,3
16356,6897,0.32,26.0,0.58,3
16358,6898,0.33,25.0,0.58,3
16363,6899,0.33,25.0,0.58,3
16364,6900,0.32,26.0,0.58,3
16366,6901,0.32,26.0,0.58,3
16367,6902,0.32,26.0,0.58,3
16369,6903,0.32,26.0,0.58,3
16371,6904,0.32,26.0,0.58,3
16374,6905,0.31,27.0,0.58,3
16377,6906,0.31,27.0,0.58,3
16378,6907,0.31,27.0,0.58,3
16380,6908,0.3,28.0,0.58,3
16381,6909,0.3,28.0,0.58,3
16382,6910,0.3,28.0,0.58,3
16384,6911,0.31,27.0,0.58,3
16386,6912,0.31,27.0,0.58,3
16390,6913,0.31,27.0,0.58,3
16391,6914,0.32,26.0,0.58,3
16392,6915,0.32,26.0,0.58,3
16393,6916,0.33,25.0,0.58,3
16397,6917,0.34,24.0,0.58,3
16398,6918,0.35,23.0,0.58,3
16399,6919,0.35,23.0,0.58,3
16402,6920,0.34,24.0,0.58,3
16404,6921,0.34,24.0,0.58,3
16407,6922,0.34,24.0,0.58,3
16409,6923,0.34,24.0,0.58,3
16411,6924,0.34,24.0,0.58,3
16413,6925,0.34,24.0,0.58,3
16415,6926,0.34,24.0,0.58,3
16418,6927,0.34,24.0,0.58,3
16420,6928,0.34,24.0,0.58,3
16425,6929,0.34,24.0,0.58,3
16426,6930,0.34,24.0,0.58,3
16428,6931,0.34,24.0,0.58,3
16430,6932,0.34,24.0,0.58,3
16435,6933,0.34,24.0,0.58,3
16438,6934,0.35,23.0,0.58,3
16441,6935,0.35,23.0,0.58,3
16444,6936,0.35,23.0,0.58,3
16445,6937,0.36,22.0,0.58,3
16447,6938,0.36,22.0,0.58,3
16451,6939,0.36,22.0,0.58,3
16453,6940,0.36,22.0,0.58,3
16455,6941,0.36,22.0,0.58,3
16456,6942,0.36,22.0,0.58,3
16457,6943,0.36,22.0,0.58,3
16459,6944,0.37,21.0,0.58,3
