step,episode,delivery_rate,peak_rate,mean_return,mean_hops,invalid_count
133559,63500,0.73,1.0,-3.11,2.3,0
134590,64000,0.71,1.0,-3.32,2.3,0
135605,64500,0.65,1.0,-3.03,2.0,0
136593,65000,0.72,1.0,-1.97,2.0,0
137588,65500,0.66,1.0,-2.03,1.8,0
138612,66000,0.7,1.0,-2.31,2.0,0
139647,66500,0.73,1.0,-2.09,2.0,0
140691,67000,0.7,1.0,-3.01,2.2,0
141694,67500,0.7,1.0,-2.41,2.0,0
142732,68000,0.72,1.0,-2.38,2.1,0
143790,68500,0.79,1.0,-1.67,2.2,0
144828,69000,0.71,1.0,-2.61,2.1,0
145850,69500,0.74,1.0,-1.69,2.0,0
146899,70000,0.7,1.0,-3.43,2.2,0
147970,70500,0.67,1.0,-2.83,2.0,0
148996,71000,0.69,1.0,-2.98,2.1,0
150035,71500,0.75,1.0,-1.9,2.1,0
151017,72000,0.71,1.0,-2.23,2.0,0
152059,72500,0.76,1.0,-1.33,2.0,0
153105,73000,0.67,1.0,-3.31,2.1,0
154200,73500,0.81,1.0,-1.28,2.2,0
155183,74000,0.66,1.0,-2.12,1.8,0
156213,74500,0.67,1.0,-3.05,2.0,0
157194,75000,0.65,1.0,-3.14,2.0,0
158164,75500,0.67,1.0,-3.05,2.0,0
159166,76000,0.75,1.0,-1.2,1.9,0
160196,76500,0.73,1.0,-2.27,2.1,0
161226,77000,0.74,1.0,-1.95,2.0,0
162249,77500,0.68,1.0,-3.63,2.2,0
163301,78000,0.74,1.0,-2.3,2.1,0
164290,78500,0.83,1.0,-0.17,2.0,0
165286,79000,0.71,1.0,-2.21,2.0,0
166313,79500,0.76,1.0,-1.34,2.0,0
167329,80000,0.72,1.0,-2.22,2.0,0
168376,80500,0.67,1.0,-3.4,2.1,0
169373,81000,0.67,1.0,-2.78,2.0,0
170384,81500,0.74,1.0,-2.31,2.1,0
171414,82000,0.71,1.0,-3.2,2.2,0
172447,82500,0.69,1.0,-2.51,2.0,0
173489,83000,0.66,1.0,-3.45,2.1,0
174533,83500,0.74,1.0,-1.46,1.9,0
175560,84000,0.8,1.0,-1.59,2.2,0
176635,84500,0.75,1.0,-1.76,2.0,0
177661,85000,0.72,1.0,-2.21,2.0,0
178699,85500,0.73,1.0,-2.2,2.1,0
179703,86000,0.72,1.0,-2.4,2.1,0
180728,86500,0.77,1.0,-1.02,1.9,0
181753,87000,0.75,1.0,-2.7,2.3,0
182801,87500,0.7,1.0,-3.11,2.2,0
183784,88000,0.73,1.0,-1.89,2.0,0
184805,88500,0.73,1.0,-1.65,1.9,0
185832,89000,0.74,1.0,-2.17,2.1,0
186847,89500,0.72,1.0,-2.13,2.0,0
187891,90000,0.67,1.0,-3.16,2.1,0
188881,90500,0.65,1.0,-2.72,1.9,0
189856,91000,0.69,1.0,-3.12,2.1,0
190872,91500,0.69,1.0,-3.07,2.1,0
191881,92000,0.66,1.0,-3.12,2.0,0
192877,92500,0.72,1.0,-1.99,2.0,0
193866,93000,0.71,1.0,-1.57,1.8,0
194868,93500,0.75,1.0,-1.19,1.9,0
195902,94000,0.71,1.0,-3.41,2.3,0
196930,94500,0.68,1.0,-2.73,2.0,0
197957,95000,0.73,1.0,-2.04,2.0,0
198946,95500,0.71,1.0,-2.52,2.1,0
199940,96000,0.77,1.0,-1.39,2.0,0
